Go.	Va !
I got fined.	J'ai été verbalisée.
I got fined.	On m'a mis une prune.
I got fined.	Je me suis fait verbaliser.
I got fined.	J'ai pris une contravention.
I got fined.	On m'a mis une contravention.
I got fined.	J'ai pris une contredanse.
I got fined.	On m'a mis une contredanse.
I got lucky.	J'ai eu de la chance.
I got lucky.	J'ai eu du bol.
I got upset.	J'ai été contrariée.
I got upset.	Je me suis fâchée.
I got upset.	Je me suis fâché.
I got upset.	J'ai été contrarié.
I guess not.	J'imagine que non.
I guess not.	Je suppose que non.
I had to go.	Je devais y aller.
I hate dogs.	Je déteste les chiens.
I hate dogs.	Je hais les chiens.
I hate fish.	Je déteste le poisson.
I hate golf.	Je déteste le golf.
I hate milk.	Je déteste le lait.
I hate sand.	Je déteste le sable.
I hate sand.	Je hais le sable.
I hate that.	Je déteste ça.
I hate them.	Je les déteste.
I hate this.	Je déteste ça.
I hate work.	Je déteste le travail.
I have cash.	J'ai du liquide.
I have cash.	Je dispose de liquide.
I have eyes.	J'ai des yeux.
I have food.	J'ai de la nourriture.
I have food.	Je dispose de nourriture.
I have time.	J'ai du temps.
I have time.	Je dispose de temps.
I have wine.	J'ai du vin.
I know that.	Je le sais.
I know them.	Je les connais.
I know this.	Je sais ça.
I know this.	Je le sais.
I like blue.	J'aime le bleu.
I like blue.	J'apprécie le bleu.
I like both.	J'aime les deux.
I like both.	Les deux me plaisent.
I like cake.	J'aime les gâteaux.
I like cats.	J'aime les chats.
I like cats.	J’aime les chats.
I like dogs.	J'aime les chiens.
I like jazz.	J'apprécie le jazz.
I like math.	J'aime les maths.
I like milk.	J'aime le lait.
I like rice.	J'aime le riz.
I like rock.	J'aime le rock.
I like that.	J'aime cela.
I like that.	J'apprécie cela.
I like them.	Je les apprécie.
I like this.	Je l'apprécie.
I like this.	J'apprécie ceci.
I live here.	J'habite ici.
I love Mary.	J'aime Mary.
I love kids.	J'adore les enfants.
I love life.	J'adore la vie.
I loved you.	Je t'aimais.
I loved you.	Je t'ai aimé.
I loved you.	Je t'ai aimée.
I messed up.	J'ai merdé.
I messed up.	J'ai foiré.
I messed up.	J'ai dégueulassé.
I messed up.	J'ai sali.
I messed up.	J'ai mis la pagaille.
I messed up.	J'ai mis le souk.
I must obey.	Il me faut obéir.
I must obey.	Je dois obéir.
I nailed it.	C'est dans la poche !
I nailed it.	Je l'ai cloué.
I nailed it.	J'ai mis la main dessus.
I need food.	Il me faut de la nourriture.
I need glue.	J'ai besoin de colle.
I need more.	Il m'en faut davantage.
I need more.	Il m'en faut plus.
I need some.	J'en ai besoin.
I need that.	Il me faut ça.
I need that.	J'en ai besoin.
I need that.	C'est ce qu'il me faut.
I need time.	Il me faut du temps.
I need time.	J'ai besoin de temps.
I never bet.	Je ne parie jamais.
I never bet.	Je n'ai jamais parié.
I never win.	Je ne gagne jamais.
I never win.	Jamais je ne l'emporte.
I often ski.	Je skie souvent.
I oppose it.	J'y suis opposé.
I oppose it.	Je m'y oppose.
I pay taxes.	Je paie des impôts.
I pay taxes.	Je paye des accises.
I recovered.	Je me suis remis.
I recovered.	Je me suis remise.
I recovered.	Je m'en suis remis.
I recovered.	Je m'en suis remise.
I said stop.	J'ai dit stop.
I said that.	J'ai dit ça.
I saved you.	Je t'ai sauvé.
I saved you.	Je t'ai sauvée.
I saved you.	Je vous ai sauvé.
I saved you.	Je vous ai sauvée.
I saved you.	Je vous ai sauvées.
I saved you.	Je vous ai sauvés.
I saw a dog.	J'ai vu un chien.
I sell cars.	Je vends des voitures.
I should go.	Je devrais partir.
I should go.	Je devrais y aller.
I smell gas.	Je sens le gaz.
I surrender.	Je me rends.
I thank you.	Je te remercie.
I trust her.	Je lui fais confiance.
I trust him.	J'ai confiance en lui.
I trust him.	Je lui fais confiance.
I trust you.	Je me fie à toi.
I trust you.	J'ai confiance en toi.
I waited up.	J'ai veillé.
I want Mary.	Je veux Mary.
I want cash.	Je veux du liquide.
I want eggs.	Je veux des œufs.
I want kids.	Je veux des enfants.
I want mine.	Je veux le mien.
I want mine.	Je veux la mienne.
I want more.	J'en veux davantage.
I want more.	Je veux davantage.
I want soup.	Je veux de la soupe.
I want that.	Je le veux.
I want that.	Moi je veux ça.
I want them.	Je les veux.
I want this.	Je veux ceci.
I want time.	Je veux du temps.
I was alone.	J'étais seul.
I was alone.	Je me trouvais seul.
I was alone.	Je me trouvais seule.
I was bored.	Je m'ennuyais.
I was broke.	J'étais sans le sou.
I was dizzy.	J'avais la tête qui tournait.
I was dizzy.	La tête me tournait.
I was drunk.	J'étais ivre.
I was fired.	J'ai été licencié.
I was fired.	J'ai été viré.
I was fired.	On m'a saqué.
I was hired.	J'ai été engagé.
I was lucky.	J'ai eu de la chance.
I was moved.	J'étais ému.
I was naive.	J'étais crédule.
I was naive.	J'ai été crédule.
I was naive.	Je fus crédule.
I was naive.	J'ai été naïf.
I was naive.	J'ai été naïve.
I was naive.	J'étais naïf.
I was naive.	J'étais naïve.
I was ready.	J'étais prête.
I was ready.	J'y étais prêt.
I was ready.	J'y étais prête.
I was sober.	J'étais sobre.
I was sorry.	Je fus désolé.
I was sorry.	Je fus désolée.
I was there.	J'y étais.
I was there.	Je m'y trouvais.
I was there.	J'étais là.
I was there.	Je me tenais là.
I was tired.	J'étais fatigué.
I was tired.	J’étais fatiguée.
I was wrong.	J'avais tort.
I was wrong.	J'eus tort.
I was wrong.	J'ai eu tort.
I washed it.	Je l'ai lavé.
I washed it.	Je l'ai lavée.
I went home.	J'allais à la maison.
I went, too.	J'y suis également allé.
I went, too.	J'y suis allé, également.
I went, too.	J'y suis allé aussi.
I will come.	Je viendrai.
I will help.	J'aiderai.
I will obey.	J'obéirai.
I will wait.	J'attendrai.
I will walk.	Je marcherai.
I will work.	Je vais travailler.
I will work.	Je travaillerai.
I won again.	J'ai à nouveau gagné.
I won't cry.	Je ne pleurerai pas.
I won't cry.	Je ne crierai pas.
I work here.	Je travaille ici.
I'll attend.	Je serai présent.
I'll attend.	J'y assisterai.
I'll buy it.	Je l'achèterai.
I'll cancel.	J'annulerai.
I'll change.	Je changerai.
I'll decide.	J'en déciderai.
I'll decide.	Je le déciderai.
I'll get in.	J'arriverai à entrer.
I'll get it.	Je vais aller le chercher.
I'll get it.	J'irai le chercher.
I'll get up.	Je me lèverai.
I'll go now.	J'y vais maintenant.
I'll go see.	J'irai voir.
I'll manage.	Je m'en sortirai.
I'll scream.	Je crierai.
I'll try it.	Je l'essayerai.
I'll try it.	Je le tenterai.
I'm 17, too.	J'ai également dix-sept ans.
I'm Finnish.	Je suis Finlandais.
I'm Finnish.	Je suis Finlandaise.
I'm Italian.	Je suis italien.
I'm a baker.	Je suis boulanger.
I'm a baker.	Je suis boulangère.
I'm all set.	Je suis tout à fait prêt.
I'm all set.	Je suis tout à fait prête.
I'm ashamed.	J'ai honte.
I'm at home.	Je suis à la maison.
I'm at home.	Je suis dans la maison.
I'm baffled.	Je suis perplexe.
I'm blessed.	Je suis béni.
I'm blessed.	Je suis bénie.
I'm careful.	Je suis prudent.
I'm careful.	Je suis prudente.
I'm certain.	Je suis sûr.
I'm certain.	Je suis certain.
I'm chicken.	J'ai les foies.
I'm chicken.	J'ai les chocottes.
I'm correct.	J'ai raison.
I'm curious.	Je suis curieux.
I'm curious.	Je suis curieuse.
I'm dancing.	Je suis en train de danser.
I'm dieting.	Je suis au régime.
I'm driving.	Je suis en train de conduire.
I'm driving.	Je conduis.
I'm engaged.	Je suis fiancé.
I'm engaged.	Je suis fiancée.
I'm excited.	Je suis excité.
I'm excited.	Je suis excitée.
I'm fasting.	Je fais la diète.
I'm fasting.	Je suis à la diète.
I'm finicky.	Je suis méticuleux.
I'm finicky.	Je suis méticuleuse.
I'm frantic.	Je suis affolé.
I'm frantic.	Je suis affolée.
I'm furious.	Je suis furieux.
I'm healthy.	Je suis en bonne santé.
I'm humming.	Je fredonne.
I'm in luck.	Je suis veinard.
I'm in luck.	Je suis veinarde.
I'm jealous.	Je suis jalouse.
I'm jittery.	J'ai la frousse.
I'm kidding.	Je plaisante.
I'm kidding.	Je rigole !
I'm leaving.	Je pars.
I'm married.	Je suis marié.
I'm married.	Je suis mariée.
I'm no fool.	Je ne suis pas une idiote.
I'm no hero.	Je ne suis pas un héros.
I'm no liar.	Je ne suis pas un menteur.
I'm not fat.	Je ne suis pas gros.
I'm not mad.	Je ne suis pas fou.
I'm not mad.	Je ne suis pas folle.
I'm not old.	Je ne suis pas vieux.
I'm not old.	Je ne suis pas vieille.
I'm not sad.	Je ne suis pas triste.
I'm not shy.	Je ne suis pas timide.
I'm on duty.	Je suis en service.
I'm patient.	Je suis patiente.
I'm patient.	Je suis patient.
I'm popular.	Je suis populaire.
I'm psyched.	Je suis remonté.
I'm psychic.	Je suis voyant.
I'm psychic.	Je suis voyante.
I'm puzzled.	Je suis perplexe.
I'm reading.	Je lis.
I'm relaxed.	Je suis détendu.
I'm relaxed.	Je suis détendue.
I'm retired.	Je suis retraité.
I'm retired.	Je suis retraitée.
I'm retired.	Je suis pensionné.
I'm retired.	Je suis pensionnée.
I'm selfish.	Je suis égoïste.
I'm serious.	Je suis sérieux.
I'm shocked.	Je suis choqué.
I'm shocked.	Je suis choquée.
I'm sincere.	Je suis sincère.
I'm sloshed.	Je suis bourré.
I'm sloshed.	Je suis bourrée.
I'm so full.	Je suis tellement rassasié.
I'm starved.	Je meurs de faim !
I'm starved.	J'ai l'estomac dans les talons.
I'm starved.	J'ai la dalle.
I'm starved.	J'ai les crocs.
I'm staying.	Je reste.
I'm stuffed.	Je suis gavé.
I'm stuffed.	Je suis gavée.
I'm stunned.	Je suis sidéré.
I'm stunned.	Je suis sidérée.
I'm talking.	Je suis en train de discuter.
I'm teasing.	Je taquine.
I'm thirsty.	J'ai soif.
I'm through.	J'en ai fini.
I'm through.	J'en ai terminé.
I'm too fat.	Je suis trop gros.
I'm touched.	Je suis touché.
I'm touched.	Je suis touchée.
I'm unhappy.	Je suis mécontent.
I'm unhappy.	Je suis mécontente.
I'm unlucky.	J'ai la schcoumoune.
I'm wealthy.	Je suis fortuné.
I'm wealthy.	Je suis fortunée.
I'm winning.	Je gagne.
I'm winning.	Je l'emporte.
I'm working.	Je suis en train de travailler.
I'm worried.	Je me fais du souci.
I've failed.	J'ai échoué.
Ignore them.	Ignore-les.
Ignore them.	Ignorez-les.
Is Tom sure?	Est-ce Tom est sûr ?
Is he right?	A-t-il raison ?
Is it clean?	Est-ce propre ?
Is it clear?	Est-ce clair ?
Is it dirty?	Est-ce sale ?
Is it fatal?	Est-ce fatal ?
Is it legal?	Est-ce légal ?
Is it ready?	Est-ce prêt ?
Is it to go?	Ça doit partir ?
Is it to go?	Cela doit-il partir ?
Is it to go?	À emporter ?
Is it yours?	Est-ce à toi ?
Is it yours?	Est-ce à vous ?
Is it yours?	Vous appartient-il ?
Is it yours?	Est-ce le vôtre ?
Is it yours?	Est-ce le tien ?
Is it yours?	Est-ce la tienne ?
Is it yours?	Est-ce la vôtre ?
Is she gone?	S'en est-elle allée ?
Is that all?	C'est tout ?
Is that you?	Est-ce toi ?
Is that you?	Est-ce vous ?
Is that you?	Est-ce que c'est vous ?
It can't be!	C'est pas possible !
It is foggy.	Il y a du brouillard.
It may snow.	Il va peut-être se mettre à neiger.
It was long.	C'était long.
It's 50 yen.	C'est 50 yen.
It's Monday.	Nous sommes lundi.
It's a doll.	C'est une poupée.
It's a song.	C'est une chanson.
It's all OK.	Tout est d'équerre.
It's all OK.	C'est tout bon.
It's broken.	C'est cassé.
It's cloudy.	Le temps est couvert.
It's ironic.	C'est ironique.
It's locked.	C'est verrouillé.
It's my job.	C'est mon métier.
It's my job.	C'est mon emploi.
It's my son.	C'est mon fils.
It's no use.	Ça ne sert à rien.
It's not us.	Ce n'est pas nous.
It's poison.	C'est du poison.
It's secret.	C'est secret.
It's silent.	C'est silencieux.
It's stupid.	C'est bête.
It's urgent.	C'est urgent.
It's warmer.	C'est plus chaud.
It's warmer.	Il fait plus chaud.
Just say no.	Dites simplement non !
Just say no.	Dis simplement non !
Keep trying.	Continue à essayer.
Keep trying.	Continue d'essayer.
Keep trying.	Continuez à essayer.
Keep trying.	Continuez d'essayer.
Let me help.	Laisse-moi t'aider !
Let me help.	Laissez-moi vous aider !
Let me know.	Fais-le moi savoir !
Let me know.	Avise-moi !
Let me talk.	Laisse-moi parler.
Let me talk.	Laissez-moi parler.
Let's begin.	Commençons !
Let's dance.	Dansons.
Let's do it!	Faisons-le !
Let's do it!	Faisons-le !
Let's do it!	On s'y met !
Let's do it!	Mettons-nous y !
Let's do it.	Faisons-le.
Let's drink.	Buvons !
Let's hurry.	Dépêchons-nous.
Let's split.	Divisons-nous !
Let's split.	Séparons-nous !
Let's start!	Commençons !
Life is fun.	La vie est amusante.
Look around.	Regarde autour de toi.
Look around.	Regardez autour de vous.
Lunch is on.	Le déjeuner est prêt.
Make a list.	Fais une liste !
Make a list.	Faites une liste !
Make a wish.	Fais un souhait !
Make a wish.	Faites un souhait !
Many thanks.	Merci beaucoup !
Many thanks.	Merci vraiment.
Many thanks.	Merci bien.
Many thanks.	Mille mercis.
May I begin?	Puis-je commencer ?
Money talks.	L'argent est roi.
Need a lift?	T'as besoin d'un chauffeur ?
Nice timing.	Bien calculé !
Nice timing.	Pile poil !
Nice timing.	Moins une !
Nice timing.	Tout juste !
Nice timing.	Pile à l'heure !
No means no.	« Non », ça veut dire « non ».
No one came.	Personne n'est venu.
No one came.	Personne ne vint.
No one died.	Personne n'est mort.
No one left.	Personne ne partit.
No one left.	Personne n'est parti.
Nobody came.	Personne n'est venu.
Nobody came.	Personne ne vint.
Nobody died.	Personne n'est mort.
Now I'm sad.	Maintenant je suis attristé.
Now we wait.	Maintenant nous attendons.
OK. I agree.	Bien. Je suis d’accord.
Oh, come on.	Oh, viens.
Pick a card.	Pioche une carte !
Pick a card.	Piochez une carte !
Pick a date.	Choisissez une date !
Pick a date.	Choisis une date !
Plants grow.	Les plantes poussent.
Plants grow.	Les plantes croissent.
Please come.	Viens, s'il te plait.
Please come.	S'il te plait, viens.
Please come.	Venez, je vous prie.
Please come.	Veuillez venir.
Please sing.	Chante, je te prie !
Please sing.	Chantez, je vous prie !
Please sing.	S'il te plaît, chante !
Please sing.	S'il vous plaît, chantez !
Please sing.	Veuillez chanter !
Please stop.	S'il te plaît, arrête.
Please stop.	S'il vous plaît, arrêtez.
Please stop.	Arrêtez, s'il vous plaît.
Please stop.	Arrête, s'il te plaît.
Please stop.	Veuillez arrêter.
Please stop.	Merci d'arrêter.
Put it back.	Remets-le en place !
Put it down.	Laisse-le !
Put it down.	Pose-le !
Release him.	Relâche-le !
Release him.	Relâchez-le !
Remember it.	Souviens-en-toi.
Remember it.	Souvenez-vous-en.
Send him in.	Envoie-le !
Send him in.	Envoyez-le !
Shall we go?	Y allons-nous ?
She blushed.	Elle a rougi.
She fainted.	Elle est tombée dans les pommes.
She hit him.	Elle le frappa.
She hit him.	Elle l'a frappé.
She is curt.	Elle n'a pas de charme.
She is dead.	Elle est morte.
She is kind.	Elle est gentille.
She is late.	Elle est en retard.
She woke up.	Elle se réveille.
She's a dog.	C'est une enfoirée.
She's a fox.	C'est un renard.
Should I go?	Devrais-je y aller ?
Should I go?	Devrais-je partir ?
Sleep tight.	Dors bien.
Sleep tight.	Dormez bien.
Stand aside.	Reste à l'écart.
Stand aside.	Restez à l'écart.
Stand aside.	Écarte-toi.
Stand aside.	Écartez-vous.
Stay in bed.	Reste au lit !
Stay in bed.	Restez au lit !
Stay in bed.	Reste alité !
Stay in bed.	Reste alitée !
Stay in bed.	Restez alité !
Stay in bed.	Restez alitée !
Stay in bed.	Restez alités !
Stay in bed.	Restez alitées !
Step inside.	Avance à l'intérieur.
Step inside.	Avancez à l'intérieur.
Stop crying.	Arrête de pleurer !
Stop crying.	Arrêtez de pleurer !
Stop trying.	Arrête d'essayer.
Take a bite.	Croque !
Take a bite.	Prends une bouchée !
Take a bite.	Prenez une bouchée !
Take a bite.	Croquez !
Take a card.	Prends une carte.
Take a card.	Prenez une carte.
Take a look.	Regarde !
Take a look.	Regardez !
Take a look.	Jette un œil !
Take a look.	Jetez un œil !
Take a rest.	Reposez-vous.
Take a rest.	Repose-toi.
Take a seat.	Assieds-toi !
Take a seat.	Asseyez-vous !
Take a seat.	Prenez place !
Take a seat.	Prends place !
Take a walk.	Va marcher !
Take a walk.	Allez marcher !
Take it all.	Prends tout !
Take it all.	Prenez tout !
That is all.	C'est tout.
That worked.	Ça a fonctionné.
That worked.	Ça a marché.
That's cool.	C'est super.
That's cool.	C'est cool.
That's hers.	Ce sont les siens.
That's hers.	C'est le sien.
That's hers.	C'est la sienne.
That's hers.	C'est à elle.
That's icky.	C'est collant.
That's icky.	C'est gnangnan.
That's lame.	C'est minable.
That's lame.	C'est faible.
That's mine.	C'est le mien.
That's mine.	C'est la mienne.
That's true.	C'est exact.
That's true.	C'est juste.
That's ugly.	C'est laid.
That's wise.	C'est sage.
The TV's on.	La télé est allumée.
There he is.	Le voilà.
There he is.	Le voici.
There it is.	Il est là.
They burned.	Ils ont brûlé.
They burned.	Elles ont brûlé.
They got it.	Ils l'ont eu.
They got it.	Ils l'ont eue.
They hugged.	Ils se sont enlacés.
They hugged.	Elles se sont enlacées.
They obeyed.	Ils ont obéi.
They obeyed.	Elles ont obéi.
They smiled.	Ils ont souri.
They smiled.	Elles ont souri.
They're bad.	Ils sont mauvais.
They're bad.	Elles sont mauvaises.
They're old.	Ils sont vieux.
They're old.	Elles sont vieilles.
This is bad.	Ça pue.
This is bad.	C'est pas bon.
This is bad.	Ce n'est pas bon.
This is bad.	C'est mauvais.
This is big.	C'est gros.
This is big.	C'est grand.
This is fun.	C'est amusant.
This is his.	C'est le sien.
This is his.	C'est la sienne.
This is new.	C'est nouveau.
This is new.	C'est neuf.
This is odd.	C'est bizarre.
This stinks.	Ça pue.
Tom blinked.	Tom a cligné des yeux.
Tom drowned.	Tom se noya.
Tom drowned.	Tom s'est noyé.
Tom is dead.	Tom est mort.
Tom is nuts.	Tom est malade mental.
Tom is weak.	Tom est faible.
Tom laughed.	Tom rit.
Tom left me.	Tom m’a quitté.
Tom left me.	Tom m’a quittée.
Tom listens.	Tom écoute.
Tom'll quit.	Tom va démissionner.
Tom'll quit.	Tom va arrêter.
Tom's alive.	Tom est vivant.
Tom's alive.	Tom est en vie.
Tom's alone.	Tom est tout seul.
Tom's alone.	Tom est seul.
Tom's bored.	Tom s'ennuie.
Tom's funny.	Tom est drôle.
Tom's funny.	Tom est rigolo.
Tom's funny.	Tom est marrant.
Tom's lying.	Tom ment.
Tom's sorry.	Tom est désolé.
Turn around.	Faites demi-tour.
Turn around.	Fais demi-tour.
Turn it off.	Éteins-le !
Turn it off.	Éteignez-le !
Wait for us.	Attends-nous !
Wait for us.	Attendez-nous !
Wake Tom up.	Réveille Tom !
War is evil.	La guerre est mauvaise.
War is hell.	La guerre, c'est l'enfer.
Was I wrong?	Est-ce que j'avais tort ?
Was I wrong?	Avais-je tort ?
Was I wrong?	Ai-je eu tort ?
We all know.	Nous le savons tous.
We all know.	Nous le savons toutes.
We all quit.	Nous démissionnons tous.
We all quit.	Nous démissionnons toutes.
We all quit.	Nous arrêtons toutes.
We all quit.	Nous arrêtons tous.
We all work.	Nous travaillons tous.
We all work.	Nous travaillons toutes.
We are even.	Nous sommes quittes.
We are even.	Nous sommes à égalité.
We are here.	Nous sommes ici.
We are here.	Nous y sommes.
We are late.	Nous sommes en retard.
We broke up.	Nous nous sommes séparés.
We broke up.	Nous nous sommes séparées.
We broke up.	Nous nous séparâmes.
We broke up.	Nous éclatâmes de rire.
We broke up.	Nous avons éclaté de rire.
We broke up.	Nous avons rompu.
We can meet.	Nous pouvons nous rencontrer.
We can talk.	Nous pouvons discuter.
We can wait.	Nous pouvons attendre.
We can't go.	Nous ne pouvons y aller.
We can't go.	Nous ne pouvons nous y rendre.
We can't go.	Nous ne pouvons pas y aller.
We can't go.	Nous ne pouvons pas nous y rendre.
We can't go.	Nous ne pouvons pas partir.
We did fine.	Nous nous en sommes bien tirés.
We did fine.	Nous nous en sommes bien tirées.
We did that.	Nous avons fait cela.
We did that.	On a fait ça.
We found it.	Nous l'avons trouvé.
We know him.	Nous le connaissons.
We know him.	On le connaît.
We like Tom.	Nous aimons bien Tom.
We like Tom.	Nous aimons Tom.
We like Tom.	Nous apprécions Tom.
We like him.	Nous l'apprécions.
We like him.	Nous l'aimons bien.
We miss you.	Tu nous manques.
We miss you.	Vous nous manquez.
We must act.	Il nous faut agir.
We must run.	Il nous faut courir.
We must try.	Il nous faut essayer.
We need Tom.	Nous avons besoin de Tom.
We promised.	Nous promîmes.
We promised.	Nous avons promis.
We remember.	Nous nous souvenons.
We remember.	Nous nous en souvenons.
We survived!	Nous avons survécu !
We survived.	Nous survécûmes.
We survived.	Nous avons survécu.
We want Tom.	Nous voulons Tom.
We'll check.	Nous vérifierons.
We'll dance.	Nous danserons.
We'll drive.	Nous conduirons.
We'll fight.	Nous combattrons.
We'll hurry.	Nous nous dépêcherons.
We'll share.	Nous partagerons.
We'll shoot.	Nous tirerons.
We'll stand.	Nous nous tiendrons debout.
We'll start.	Nous commencerons.
We're alone.	Nous sommes seuls.
We're alone.	Nous sommes seules.
We're angry.	Nous sommes en colère.
We're armed.	Nous sommes armés.
We're armed.	Nous sommes armées.
We're bored.	Nous nous ennuyons.
We're bored.	On s'emmerde.
We're broke.	Nous sommes fauchés.
We're broke.	Nous sommes fauchées.
We're broke.	On est fauchés.
We're dying.	Nous sommes en train de mourir.
We're early.	Nous sommes en avance.
We're going.	Nous y allons.
We're happy.	Nous sommes heureux.
We're ready.	Nous sommes prêtes.
We're saved.	Nous sommes sauvés.
We're saved.	Nous sommes sauvées.
We're smart.	Nous sommes intelligents.
We're smart.	Nous sommes intelligentes.
We're sorry.	Nous sommes désolés.
We're sorry.	Nous sommes désolées.
We're stuck.	Nous sommes coincés.
We're stuck.	Nous sommes coincées.
We're tired.	Nous sommes fatigués.
We're tired.	Nous sommes fatiguées.
We're twins.	Nous sommes jumeaux.
We're twins.	Nous sommes jumelles.
What a bore!	Quel emmerdeur !
What a bore!	Quelle emmerdeuse !
What a dope!	Quelle andouille !
What a dope!	Quel couillon !
What a drag!	Quel boulet !
What a dump.	Quel taudis !
What a heel!	Quel malandrin !
What a jerk!	Quel naze !
What a joke!	Quelle blague !
What a loss!	Quelle perte !
What a mess!	Quel bordel !
What a mess!	Quelle pagaille !
What a pain!	Quelle plaie.
What a pity!	Dommage !
What a pity!	Quel dommage !
What a team!	Quelle équipe !
What is art?	Qu'est-ce que l'art ?
What was it?	Qu'était-ce ?
What was it?	Qu'est-ce que c'était ?
What was it?	De quoi s'agissait-il ?
What was it?	Qu'y avait-il ?
What'd I do?	Que ferais-je ?
What's that?	Qu'est-ce que c'est que ça ?
What's that?	Qu'est-ce ?
What's that?	Qu'est-ce là ?
What's that?	Qu'est cela ?
What's this?	Qu’est-ce que c’est ?
What's this?	C'est quoi ?
What's this?	C'est quoi, ça ?
Where is he?	Où est-il ?
Where was I?	Où en étais-je ?
Where was I?	Où étais-je ?
Who are you?	Qui es-tu ?
Who are you?	Qui êtes-vous ?
Who is next?	À qui le tour ?
Who's going?	Qui va y aller ?
Who's there?	Qui est là ?
Whose is it?	À qui est-ce ?
Will it fit?	Cela ira-t-il ?
Will it fit?	Cela passera-t-il ?
Will it fit?	Cela s'adaptera-t-il ?
Will you go?	Irez-vous ?
Will you go?	Iras-tu ?
Will you go?	T'y rendras-tu ?
Will you go?	Vous y rendrez-vous ?
Work slowly.	Travaille lentement !
Work slowly.	Travaillez lentement !
You are big.	Tu es grand.
You are big.	Tu es grande.
You are big.	Vous êtes grand.
You are big.	Vous êtes grande.
You are big.	Vous êtes grands.
You are big.	Vous êtes grandes.
You are mad.	Tu es fou.
You cheated.	Tu as triché.
You cheated.	Vous avez triché.
You fainted.	Vous vous êtes évanoui.
You fainted.	Vous vous êtes évanouie.
You hurt me.	Tu me fais mal.
You hurt me.	Vous me faites mal.
You may sit.	Vous pouvez vous asseoir.
You may sit.	Tu peux t'asseoir.
You must go.	Il faut que tu t'en ailles.
You must go.	Tu dois y aller.
You must go.	Tu dois partir.
You must go.	Tu dois t'en aller.
You're back.	Tu es de retour.
You're back.	Vous êtes de retour.
You're cool.	T'es sympa.
You're cool.	T'es décontracté.
You're fair.	Tu es juste.
You're fair.	Vous êtes juste.
You're fair.	Vous êtes justes.
You're fine.	Tu vas bien.
You're free.	Tu es libre.
You're free.	Vous êtes libres.
You're free.	Vous êtes libre.
You're good.	Vous êtes bon.
You're good.	Vous êtes bonne.
You're good.	Vous êtes bons.
You're good.	Vous êtes bonnes.
You're good.	Tu es bon.
You're good.	Tu es bonne.
You're good.	T'es bon.
You're good.	T'es bonne.
You're kind.	Tu es gentil.
You're kind.	Tu es gentille.
You're lazy.	Tu es paresseux.
You're lazy.	Tu es paresseuse.
You're lazy.	Vous êtes paresseux.
You're lazy.	Vous êtes paresseuses.
You're lazy.	Vous êtes paresseuse.
You're lost.	Tu es perdu.
You're lost.	Tu es perdue.
You're nice.	T'es sympa.
You're nice.	Vous êtes sympa.
You're nice.	Vous êtes sympas.
You're nuts!	Tu es fou !
You're nuts!	T'es dingue !
You're nuts!	Vous êtes dingue !
You're nuts!	Vous êtes dingues !
You're nuts!	T'es givré !
You're nuts!	T'es givrée !
You're nuts!	Vous êtes givré !
You're nuts!	Vous êtes givrée !
You're nuts!	Vous êtes givrés !
You're nuts!	Vous êtes givrées !
You're rich.	Tu es riche.
You're rich.	Vous êtes riche.
You're rich.	Vous êtes riches.
You're rude.	Tu es grossier.
You're rude.	Vous êtes grossiers.
You're rude.	Vous êtes grossière.
You're rude.	Vous êtes grossières.
You're rude.	Tu es grossière.
You're safe.	Tu es en sécurité.
You're safe.	Vous êtes en sécurité.
You're safe.	Tu es sauf.
You're safe.	Vous êtes saufs.
You're safe.	Vous êtes sauf.
You're safe.	Vous êtes sauve.
You're safe.	Vous êtes sauves.
You're safe.	Tu es sauve.
You're sick!	Vous êtes malade !
You're sick!	Tu es malade!
You're sick!	Vous êtes malade!
You're thin.	Tu es mince.
You're thin.	Vous êtes mince.
You're thin.	Vous êtes minces.
You're weak.	Tu es faible.
You're weak.	Vous êtes faible.
You're weak.	Vous êtes faibles.
Abandon ship!	Abandonnez le navire !
All is quiet.	Tout est calme.
All is still.	Tout est calme.
Am I correct?	Ai-je raison ?
Anybody here?	Y a-t-il quelqu'un ?
Anybody here?	Y a-t-il qui que soit ici ?
Anybody home?	Quelqu'un est-il là ?
Anybody home?	Y a-t-il quelqu'un ?
Anybody home?	Y a-t-il quelqu'un dans la maison ?
Anybody hurt?	Quiconque a-t-il été blessé ?
Anybody hurt?	Qui que ce soit est-il blessé ?
Anything new?	Il y a du nouveau ?
Are we alone?	Sommes-nous seuls ?
Are we alone?	Sommes-nous seules ?
Are we broke?	Sommes-nous fauchés ?
Are we broke?	Sommes-nous fauchées ?
Are we ready?	Sommes-nous prêts ?
Are we ready?	Sommes-nous prêtes ?
Are you bald?	Es-tu chauve ?
Are you bald?	Êtes-vous chauves ?
Are you bald?	Êtes-vous chauve ?
Are you busy?	Es-tu occupé ?
Are you busy?	Êtes-vous occupé ?
Are you busy?	Êtes-vous occupée ?
Are you busy?	Es-tu occupé ?
Are you busy?	Es-tu occupée ?
Are you busy?	Êtes-vous occupés ?
Are you busy?	Êtes-vous occupées ?
Are you deaf?	Es-tu sourd ?
Are you deaf?	Êtes-vous sourd ?
Are you deaf?	Êtes-vous sourde ?
Are you deaf?	Es-tu sourde ?
Are you home?	Es-tu chez toi ?
Are you home?	Êtes-vous chez vous ?
Are you home?	Es-tu chez nous ?
